;уникальный номер;пол;age;raion;fio
5336;101402934;1;72;122;Бороничев Валентин Филиппович
5364;101432525;1;66;117;Пинхасов Семен Семенович
5374;101383068;1;64;58;Дуленков Станислав Павлович
5381;101418633;1;71;30;Кочмазов Виталий Вячеславович
5384;101392960;1;74;70;Ракин Кирилл Яковлев
5389;101366470;1;73;121;Самусенко Данил Григорьевич
5393;101410013;1;64;64;Баронов Артем Игоревич
5408;101347960;1;84;47;Столпаков Ринат Артурович
5413;101434707;1;76;10;Миннибаев Семен Иванович
5419;101438052;1;61;41;Илюхин Владислав Борисович
5423;101414838;1;75;124;Лубкивский Герман Михаилович
5425;101433150;1;61;1;Порфирьюшкин Ян Витальевич
5448;101421297;1;63;32;Коргунов Евгений Павлович
5450;101406442;1;63;58;Елихин Василий Артурович
5454;101419510;1;75;89;Сокольский Валерий Николаевич
5470;101428102;1;64;125;Бощенко Виталий Егорович
5473;101431059;1;61;134;Лентовский Дмитрий Денисович
5487;101445755;1;77;133;Чердынин Данил Михаилович
5505;101392637;1;62;77;Афанаскин Александр Владиславович
5509;101428054;1;66;91;Гитлин Ильдар Георгиевич
5521;101355186;1;80;99;Канавин Геннадий Робертович
5531;101449337;1;74;116;Востросаблин Артем Дмитриевич
5539;101404025;1;65;56;Анфимкин Иван Никитович
5577;101379703;1;70;63;Хоробров Радик Васильевич
5579;101441780;1;68;79;Шеншин Герман Григорьевич
5580;101439609;1;63;36;Пичкалев Никита Янович
5591;101414357;1;71;75;Дедушкин Вячеслав Данилович
5602;101428913;1;63;60;Гришуков Илья Борисович
5627;101370113;1;86;83;Шагаев Артем Янович
5629;101435549;1;69;61;Железняк Глеб Дмитриевич
5637;101413439;1;74;73;Буянтуев Кирилл Дамирович
5655;101421917;1;72;13;Ярошев Филипп Викторович
5662;101391683;1;72;47;Курносов Геннадий Марселевич
5717;101445878;1;64;30;Арсений Михаил Филиппович
5718;101412252;1;63;76;Сетин Радик Георгиевич
5738;101443962;1;62;8;Муминов Василий Владимирович
5741;101431561;1;69;70;Посошков Ян Ефимович
5749;101444775;1;76;20;Детышев Алексей Тимофеевич
5752;101434632;1;62;36;Булгарин Федор Борисович
5754;101432383;1;70;137;Нариманов Кирилл Максимович
5767;101442418;1;62;136;Бурик Андрей Петрович
5772;101444817;1;71;20;Казак Анатолий Артурович
5785;101421433;1;64;85;Туровецкий Михаил Артемович
5811;101381166;1;67;76;Верховской Ян Антонович
5820;101449273;1;64;7;Аверченков Борис Борисович
5821;101398582;1;64;24;Непорядин Сергей Витальевич
5823;101390454;1;71;4;Бенц Артур Владиславович
5824;101369948;1;64;5;Селехов Артур Ефимович
5827;101449747;1;68;122;Синегуб Марсель Кириллович
5830;101388435;1;74;130;Ягужинский Станислав Тимурович
5837;101445982;1;72;121;Ярополов Дмитрий Павлович
5856;101402713;1;69;77;Мошников Дамир Валерьевич
5859;101376831;1;61;29;Папанин Михаил Юрьевич
5860;101447410;1;67;73;Клочков Николай Николаевич
5865;101441245;1;78;52;Исайкин Егор Ярославович
5870;101392756;1;65;76;Кочисов Владислав Ярославович
5871;101373548;1;76;19;Маценко Владислав Максимович
5872;101400300;1;71;103;Клепцов Борис Игоревич
5874;101442598;1;63;5;Лукомников Константин Константинович
5877;101429498;1;63;52;Ананичев Егор Тимофеевич
5878;101351590;1;66;32;Фисун Семен Алексеевич
5884;101399518;1;64;135;Варфаламеев Владислав Тимофеевич
5896;101419277;1;77;33;Ивашкин Павел Артурович
5903;101364947;1;72;127;Тутынин Аркадий Артурович
5962;101400095;1;76;33;Иконостасов Егор Артурович
5965;101430917;1;67;58;Антони Валентин Федорович
5990;101388701;1;71;36;Бигачев Ефим Георгиевич
6012;101376297;1;66;67;Германюк Яков Филиппович
6035;101387616;1;81;43;Кривощапов Григорий Альбертович
6044;101375002;1;72;110;Бондарь Петр Тимурович
6045;101398648;1;69;63;Папкович Альберт Степанович
6046;101427126;1;72;66;Армулик Игорь Валентинович
6068;101416370;1;76;134;Кубалов Роман Артурович
6077;101442126;1;66;110;Белеков Павел Филиппович
6080;101442489;1;68;64;Брикез Ильдар Янович
6107;101434833;1;65;34;Кожар Ефим Григорьевич
6108;101409348;1;67;11;Цукер Геннадий Владиславович
6112;101378229;1;78;91;Козляев Валентин Антонович
6184;101438199;1;71;53;Хмырев Василий Русланович
6187;101443938;1;72;84;Гнатко Тимур Максимович
6192;101349316;1;82;41;Овчаренко Иван Ильич
6199;101433168;1;75;89;Сабашников Виктор Рамилевич
6203;101429306;1;73;0;Шервинский Роман Альбертович
6206;101437960;1;73;5;Ярилов Константин Рамилевич
6213;101404302;1;75;83;Баулин Ян Александрович
6217;101401001;1;69;9;Беседин Марат Степанович
6228;101357069;1;77;130;Вандиловский Андрей Яковлев
6234;101437252;1;76;61;Базалей Антон Борисович
6237;101449974;1;58;100;Бондарец Александр Игоревич
6241;101425519;1;66;118;Митусов Герман Викторович
6247;101449137;1;70;127;Чернавкин Григорий Александрович
6252;101350538;1;74;82;Ардаширов Тимофей Евгеньевич
6271;101368137;1;73;81;Кривачев Виталий Филиппович
6277;101445561;1;63;56;Яблочкин Виктор Германович
6281;101444123;1;78;125;Аджамов Аркадий Юрьевич
6289;101448159;1;67;27;Рудиков Анатолий Александрович
6317;101366431;1;85;137;Энеев Владимир Владиславович
6357;101447420;1;60;89;Хавроньин Дмитрий Витальевич
6363;101431777;1;67;42;Борич Владислав Георгиевич
